Time_Index,NG,None,coal,uranium
0,0.05,0.0,0.1,0.0
1,2.03,0.0,2.47,0.7
2,2.03,0.0,2.47,0.7
3,2.03,0.0,2.47,0.7
4,2.03,0.0,2.47,0.7
5,2.03,0.0,2.47,0.7
6,2.03,0.0,2.47,0.7
7,2.03,0.0,2.47,0.7
8,2.03,0.0,2.47,0.7
9,2.03,0.0,2.47,0.7
10,2.03,0.0,2.47,0.7
11,2.03,0.0,2.47,0.7
12,2.03,0.0,2.47,0.7
13,2.03,0.0,2.47,0.7
14,2.03,0.0,2.47,0.7
15,2.03,0.0,2.47,0.7
16,2.03,0.0,2.47,0.7
17,2.03,0.0,2.47,0.7
18,2.03,0.0,2.47,0.7
19,2.03,0.0,2.47,0.7
20,2.03,0.0,2.47,0.7
21,2.03,0.0,2.47,0.7
22,2.03,0.0,2.47,0.7
23,2.03,0.0,2.47,0.7
24,2.03,0.0,2.47,0.7
25,2.03,0.0,2.47,0.7
26,2.03,0.0,2.47,0.7
27,2.03,0.0,2.47,0.7
28,2.03,0.0,2.47,0.7
29,2.03,0.0,2.47,0.7
30,2.03,0.0,2.47,0.7
31,2.03,0.0,2.47,0.7
32,2.03,0.0,2.47,0.7
33,2.03,0.0,2.47,0.7
34,2.03,0.0,2.47,0.7
35,2.03,0.0,2.47,0.7
36,2.03,0.0,2.47,0.7
37,2.03,0.0,2.47,0.7
38,2.03,0.0,2.47,0.7
39,2.03,0.0,2.47,0.7
40,2.03,0.0,2.47,0.7
41,2.03,0.0,2.47,0.7
42,2.03,0.0,2.47,0.7
43,2.03,0.0,2.47,0.7
44,2.03,0.0,2.47,0.7
45,2.03,0.0,2.47,0.7
46,2.03,0.0,2.47,0.7
47,2.03,0.0,2.47,0.7
48,2.03,0.0,2.47,0.7
49,2.03,0.0,2.47,0.7
50,2.03,0.0,2.47,0.7
51,2.03,0.0,2.47,0.7
52,2.03,0.0,2.47,0.7
53,2.03,0.0,2.47,0.7
54,2.03,0.0,2.47,0.7
55,2.03,0.0,2.47,0.7
56,2.03,0.0,2.47,0.7
57,2.03,0.0,2.47,0.7
58,2.03,0.0,2.47,0.7
59,2.03,0.0,2.47,0.7
60,2.03,0.0,2.47,0.7
61,2.03,0.0,2.47,0.7
62,2.03,0.0,2.47,0.7
63,2.03,0.0,2.47,0.7
64,2.03,0.0,2.47,0.7
65,2.03,0.0,2.47,0.7
66,2.03,0.0,2.47,0.7
67,2.03,0.0,2.47,0.7
68,2.03,0.0,2.47,0.7
69,2.03,0.0,2.47,0.7
70,2.03,0.0,2.47,0.7
71,2.03,0.0,2.47,0.7
72,2.03,0.0,2.47,0.7
73,2.03,0.0,2.47,0.7
74,2.03,0.0,2.47,0.7
75,2.03,0.0,2.47,0.7
76,2.03,0.0,2.47,0.7
77,2.03,0.0,2.47,0.7
78,2.03,0.0,2.47,0.7
79,2.03,0.0,2.47,0.7
80,2.03,0.0,2.47,0.7
81,2.03,0.0,2.47,0.7
82,2.03,0.0,2.47,0.7
83,2.03,0.0,2.47,0.7
84,2.03,0.0,2.47,0.7
85,2.03,0.0,2.47,0.7
86,2.03,0.0,2.47,0.7
87,2.03,0.0,2.47,0.7
88,2.03,0.0,2.47,0.7
89,2.03,0.0,2.47,0.7
90,2.03,0.0,2.47,0.7
91,2.03,0.0,2.47,0.7
92,2.03,0.0,2.47,0.7
93,2.03,0.0,2.47,0.7
94,2.03,0.0,2.47,0.7
95,2.03,0.0,2.47,0.7
96,2.03,0.0,2.47,0.7
97,2.03,0.0,2.47,0.7
98,2.03,0.0,2.47,0.7
99,2.03,0.0,2.47,0.7
100,2.03,0.0,2.47,0.7
101,2.03,0.0,2.47,0.7
102,2.03,0.0,2.47,0.7
103,2.03,0.0,2.47,0.7
104,2.03,0.0,2.47,0.7
105,2.03,0.0,2.47,0.7
106,2.03,0.0,2.47,0.7
107,2.03,0.0,2.47,0.7
108,2.03,0.0,2.47,0.7
109,2.03,0.0,2.47,0.7
110,2.03,0.0,2.47,0.7
111,2.03,0.0,2.47,0.7
112,2.03,0.0,2.47,0.7
113,2.03,0.0,2.47,0.7
114,2.03,0.0,2.47,0.7
115,2.03,0.0,2.47,0.7
116,2.03,0.0,2.47,0.7
117,2.03,0.0,2.47,0.7
118,2.03,0.0,2.47,0.7
119,2.03,0.0,2.47,0.7
120,2.03,0.0,2.47,0.7
121,2.03,0.0,2.47,0.7
122,2.03,0.0,2.47,0.7
123,2.03,0.0,2.47,0.7
124,2.03,0.0,2.47,0.7
125,2.03,0.0,2.47,0.7
126,2.03,0.0,2.47,0.7
127,2.03,0.0,2.47,0.7
128,2.03,0.0,2.47,0.7
129,2.03,0.0,2.47,0.7
130,2.03,0.0,2.47,0.7
131,2.03,0.0,2.47,0.7
132,2.03,0.0,2.47,0.7
133,2.03,0.0,2.47,0.7
134,2.03,0.0,2.47,0.7
135,2.03,0.0,2.47,0.7
136,2.03,0.0,2.47,0.7
137,2.03,0.0,2.47,0.7
138,2.03,0.0,2.47,0.7
139,2.03,0.0,2.47,0.7
140,2.03,0.0,2.47,0.7
141,2.03,0.0,2.47,0.7
142,2.03,0.0,2.47,0.7
143,2.03,0.0,2.47,0.7
144,2.03,0.0,2.47,0.7
145,2.03,0.0,2.47,0.7
